repo	file	category	confidence	methods
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/hotspot/amd64/AMD64HotSpotRegisterAllocationConfig.java	Dataflow / liveness	high	BitSet(int); get(int); set(int); clear(int); size()
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/hotspot/phases/OnStackReplacementPhase.java	Dataflow / liveness	low	get(int)
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/hotspot/replaycomp/proxy/HotSpotResolvedJavaMethodProxy.java	Serialization / wire protocol	high	
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/hotspot/stubs/SnippetStub.java	Column / parameter mask	low	
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/java/BciBlockMapping.java	Bytecode / IR tracking	high	BitSet(); get(int); set(int); clear(); clear(int); or(); andNot(); nextSetBit(); previousSetBit(); isEmpty(); length(); clone()
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/java/BytecodeParser.java	Bytecode / IR tracking	high	BitSet(); get(int); set(int); andNot(); nextSetBit(); isEmpty(); cardinality(); clone()
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/java/LargeLocalLiveness.java	Dataflow / liveness	high	BitSet(int); clear(); or(); andNot(); nextSetBit()
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/java/LocalLiveness.java	Dataflow / liveness	high	BitSet(); or(); nextSetBit()
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/java/SmallLocalLiveness.java	Dataflow / liveness	high	nextSetBit()
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/lir/alloc/lsra/LinearScanResolveDataFlowPhase.java	Dataflow / liveness	high	BitSet(int); get(int); set(int); clear(); or()
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/lir/amd64/AMD64VZeroUpper.java	Flag / feature storage	medium	BitSet(); get(int); set(int); equals()
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/lir/constopt/ConstantLoadOptimization.java	Dataflow / liveness	high	BitSet(); get(int); set(int)
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/lir/constopt/ConstantTreeAnalyzer.java	Dataflow / liveness	high	BitSet(int); get(int); set(int); size()
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/lir/dfa/UniqueWorkList.java	Dataflow / liveness	high	BitSet(int); get(int)
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/lir/stackslotalloc/FixPointIntervalBuilder.java	Dataflow / liveness	high	BitSet(int); get(int); set(int); clear(int); or(); nextSetBit(); clone(); equals()
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/nodes/GraphDecoder.java	Bytecode / IR tracking	high	BitSet(int); get(int); set(int); set(from,to); clear(int); nextSetBit(); isEmpty()
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/nodes/spi/DelegatingReplacements.java	Column / parameter mask	high	
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/nodes/spi/Replacements.java	Column / parameter mask	high	
